window,scenario,algorithm,test_start,test_end,basket_ofr,basket_lfr,basket_qfr,n_orders,n_lines,total_qty
26,high_volatility,dp_nominal,2016-08-28,2016-09-03,0.07103218645948946,0.040781160252728314,0.03062221995390963,901,1741,2547.17
26,high_volatility,dp_robust,2016-08-28,2016-09-03,0.058823529411764705,0.03331418724870764,0.024733331501234704,901,1741,2547.17
26,high_volatility,greedy_nominal,2016-08-28,2016-09-03,0.05216426193118757,0.02929350947731189,0.021199998429629746,901,1741,2547.17
26,high_volatility,greedy_robust,2016-08-28,2016-09-03,0.048834628190899,0.027570361860999426,0.020022220739094758,901,1741,2547.17
26,large_scale,cpsat_nominal,2016-08-28,2016-09-03,0.058823529411764705,0.03446295232624928,0.024733331501234704,901,1741,2547.17
26,large_scale,cpsat_robust,2016-08-28,2016-09-03,0.048834628190899,0.02929350947731189,0.021199998429629746,901,1741,2547.17
26,large_scale,dp_nominal,2016-08-28,2016-09-03,0.05993340732519423,0.0350373348650201,0.025125924064746365,901,1741,2547.17
26,large_scale,dp_robust,2016-08-28,2016-09-03,0.051054384017758046,0.030442274554853533,0.02198518355665307,901,1741,2547.17
26,large_scale,greedy_nominal,2016-08-28,2016-09-03,0.048834628190899,0.02929350947731189,0.021199998429629746,901,1741,2547.17
26,large_scale,greedy_robust,2016-08-28,2016-09-03,0.03218645948945616,0.019529006318207927,0.01413333228641983,901,1741,2547.17
27,baseline,cpsat_nominal,2016-09-04,2016-09-10,0.07005253940455342,0.03551251008878128,0.0232611653593725,1142,2478,3998.08
27,baseline,cpsat_robust,2016-09-04,2016-09-10,0.0647985989492119,0.03228410008071025,0.020509844725468226,1142,2478,3998.08
27,baseline,dp_nominal,2016-09-04,2016-09-10,0.07793345008756568,0.04035512510088781,0.026512726108532097,1142,2478,3998.08
27,baseline,dp_robust,2016-09-04,2016-09-10,0.07355516637478109,0.037933817594834544,0.024261645589883144,1142,2478,3998.08
27,baseline,greedy_nominal,2016-09-04,2016-09-10,0.04903677758318739,0.024213075060532687,0.01600768368817032,1142,2478,3998.08
27,baseline,greedy_robust,2016-09-04,2016-09-10,0.05516637478108581,0.02784503631961259,0.01750840403393629,1142,2478,3998.08
27,high_volatility,cpsat_nominal,2016-09-04,2016-09-10,0.05604203152364273,0.028652138821630348,0.02151032495597887,1142,2478,3998.08
27,high_volatility,cpsat_robust,2016-09-04,2016-09-10,0.053415061295971976,0.027037933817594836,0.019259244437329917,1142,2478,3998.08
27,high_volatility,dp_nominal,2016-09-04,2016-09-10,0.05779334500875657,0.02986279257465698,0.022260685128861854,1142,2478,3998.08
27,high_volatility,dp_robust,2016-09-04,2016-09-10,0.05604203152364273,0.02824858757062147,0.0200096046102129,1142,2478,3998.08
27,high_volatility,greedy_nominal,2016-09-04,2016-09-10,0.04903677758318739,0.025423728813559324,0.018258764206819274,1142,2478,3998.08
27,high_volatility,greedy_robust,2016-09-04,2016-09-10,0.04203152364273205,0.021388216303470542,0.015257323515287339,1142,2478,3998.08
27,large_scale,cpsat_nominal,2016-09-04,2016-09-10,0.03590192644483362,0.01775625504439064,0.011255402593244758,1142,2478,3998.08
27,large_scale,cpsat_robust,2016-09-04,2016-09-10,0.03590192644483362,0.01775625504439064,0.011505522650872419,1142,2478,3998.08
27,large_scale,dp_nominal,2016-09-04,2016-09-10,0.03677758318739054,0.018159806295399514,0.011505522650872419,1142,2478,3998.08
27,large_scale,dp_robust,2016-09-04,2016-09-10,0.03677758318739054,0.018159806295399514,0.01175564270850008,1142,2478,3998.08
27,large_scale,greedy_nominal,2016-09-04,2016-09-10,0.03152364273204904,0.015738498789346248,0.01000480230510645,1142,2478,3998.08
27,large_scale,greedy_robust,2016-09-04,2016-09-10,0.028021015761821366,0.014124293785310734,0.009004322074595806,1142,2478,3998.08
28,baseline,cpsat_nominal,2016-09-11,2016-09-17,0.07290015847860538,0.04239302694136292,0.03164163281642985,1262,2524,3697.66
28,baseline,cpsat_robust,2016-09-11,2016-09-17,0.06893819334389857,0.03882725832012678,0.02920766106131986,1262,2524,3697.66
28,baseline,dp_nominal,2016-09-11,2016-09-17,0.07844690966719493,0.045166402535657686,0.03380516326541651,1262,2524,3697.66
28,baseline,dp_robust,2016-09-11,2016-09-17,0.0705229793977813,0.039619651347068144,0.029748543673566528,1262,2524,3697.66
28,baseline,greedy_nominal,2016-09-11,2016-09-17,0.06339144215530904,0.03645007923930269,0.027044130612333208,1262,2524,3697.66
28,baseline,greedy_robust,2016-09-11,2016-09-17,0.056259904912836764,0.030903328050713153,0.02352839363272989,1262,2524,3697.66
28,high_volatility,cpsat_nominal,2016-09-11,2016-09-17,0.05071315372424723,0.02694136291600634,0.021364863183743234,1262,2524,3697.66
28,high_volatility,cpsat_robust,2016-09-11,2016-09-17,0.04754358161648178,0.02456418383518225,0.019201332734756577,1262,2524,3697.66
28,high_volatility,dp_nominal,2016-09-11,2016-09-17,0.05229793977812995,0.0277337559429477,0.021905745795989896,1262,2524,3697.66
28,high_volatility,dp_robust,2016-09-11,2016-09-17,0.04992076069730586,0.026545166402535656,0.020553539265373236,1262,2524,3697.66
28,high_volatility,greedy_nominal,2016-09-11,2016-09-17,0.045166402535657686,0.023375594294770204,0.01839000881638658,1262,2524,3697.66
28,high_volatility,greedy_robust,2016-09-11,2016-09-17,0.041996830427892234,0.021394611727416798,0.016767360979646588,1262,2524,3697.66
28,large_scale,cpsat_nominal,2016-09-11,2016-09-17,0.03328050713153724,0.01862123613312203,0.013792506612289935,1262,2524,3697.66
28,large_scale,cpsat_robust,2016-09-11,2016-09-17,0.030110935023771792,0.017828843106180665,0.013251624000043271,1262,2524,3697.66
28,large_scale,dp_nominal,2016-09-11,2016-09-17,0.03724247226624406,0.020602218700475437,0.015415154449029928,1262,2524,3697.66
28,large_scale,dp_robust,2016-09-11,2016-09-17,0.03407290015847861,0.019809825673534072,0.01460383053065993,1262,2524,3697.66
28,large_scale,greedy_nominal,2016-09-11,2016-09-17,0.03169572107765452,0.017828843106180665,0.013251624000043271,1262,2524,3697.66
