window,scenario,literature_nominal_lfr,literature_nominal_stockout,literature_nominal_time,literature_nominal_n_listed,literature_robust_lfr,literature_robust_stockout,literature_robust_time,literature_robust_n_listed
8,large_scale,0.07421337052389096,0.9303877002468108,0.5393180847167969,46,0.0641965271721526,0.9338018046038165,0.5961980819702148,40
9,large_scale,0.08534312348942714,0.9345962881025828,0.5466539859771729,46,0.07633686498679823,0.93562817558182,0.5002760887145996,41
10,large_scale,0.08855106856352109,0.9348401638302452,0.5271711349487305,47,0.07451765065647865,0.9330763842900041,0.4232759475708008,41
11,large_scale,0.08148608254492018,0.9408818713492972,0.4997239112854004,46,0.07373728805243791,0.9397367803273122,0.4611492156982422,41
12,large_scale,0.07989219132065252,0.9420392219073414,0.4211771488189697,43,0.07314096907183947,0.938837228330652,0.4437870979309082,41
13,large_scale,0.07429067855474392,0.9319393733966091,0.4673728942871094,46,0.06318154783935258,0.9333399881157171,0.4276878833770752,41
14,large_scale,0.07961993607063236,0.9255803682855601,0.47635674476623535,46,0.06755711451965064,0.927590118860525,0.4181640148162842,41
15,large_scale,0.06881384158806861,0.9245297999426835,0.48247814178466797,47,0.058623288528108795,0.926071779286833,0.4813721179962158,42
16,large_scale,0.08298429807535611,0.928180574061857,0.4599030017852783,46,0.07294280524415647,0.9294140972287476,0.4175407886505127,41
17,large_scale,0.09052204136470755,0.9289054791089275,0.4781210422515869,47,0.0807415825837443,0.9295835047630309,0.4069681167602539,42
18,large_scale,0.09035557013581554,0.9268956703081542,0.4659998416900635,45,0.07579962741564436,0.9263385816248747,0.37576794624328613,42
19,large_scale,0.08478086224127808,0.9269959228271886,0.4600379467010498,47,0.07257490219768253,0.9263686713520546,0.40108799934387207,43
20,large_scale,0.08214529055131534,0.93291462862303,0.45336008071899414,50,0.07434770439197236,0.9310102221719779,0.3948976993560791,45
21,large_scale,0.0926429571675136,0.9218560939686896,0.4673929214477539,47,0.08312967186085041,0.9201671576417078,0.41487836837768555,45
22,large_scale,0.09094142553106364,0.916640841161662,0.41021299362182617,48,0.07309619990455259,0.916180199993566,0.4663658142089844,45
23,large_scale,0.08753236865048458,0.9176267126414994,0.4394388198852539,51,0.07072774338912292,0.9177676064491928,0.43911194801330566,46
24,large_scale,0.09313573128603377,0.9215567514338703,0.4442758560180664,50,0.07443088403395258,0.9174745126756675,0.4459812641143799,47
